Malay,English,,,,,
Isnin,Monday,,,,,
Selasa,Tuesday,,,,,
Rabu,Wednesday,,,,,
Khamis,Thursday,,,,,
Jumaat,Friday,,,,,
Sabtu,Saturday,,,,,
Ahad,Sunday,,,,,
Januari,January,,,,,
Februari,February,,,,,
Mac,March,,,,,
April,April,,,,,
Mei,May,,,,,
Jun,June,,,,, 
Julai,July,,,,,
Ogos,August,,,,,
September,September,,,,,
Oktober,October,,,,,
November,November,,,,,
Disember,December,,,,,
Hari ini hari apa?,What day is today?,,,,,
Hari ini hari Sabtu,Today is Saturday,,,,,
Hari ini berapa haribulan,Today is what date?,,,,,
Apa tarikh hari ini?,What is the date today?,,,,,
Selamat Hari Natal,Merry Christmas,,,,,
Selamat Tahun Baru,Happy New Year,,,,,
Selamat Tahun Baru Cina,Happy Chinese New Year,,,,,
Selamat Hari Raya,Happy Eid,,,,,
Selamat Hari Deepavali,Happy Deepavali,,,,,
Selamat Hari Lahir / Selamat Hari Jadi,Happy Birthday,,,,,
Selamat Hari Merdeka,Happy National Day,,,,,
Selamat Hari Gawai,Happy Gawai Day,,,,,
Selamat bercuti,Happy holidays,,,,,
musim sejuk,winter,,,,,
musim luruh,autumn,,,,,
musim bunga,spring,,,,,
musim panas,summer,,,,,
musim hujan,rainy season,,,,,
setiap Jumaad,on Fridays,,,,,
setiap Ahad,on Sundays,,,,,
pada hari Isnin,on Monday,,,,,
pada hari Selasa,on Tuesday,,,,,
Isnin depan,next Monday,,,,,
