Malay,English
Saya mahu,I want
Saya boleh,I can
Saya suka,I like
Saya mesti ,I must
pergi,to go
berenang,to swim
melancung,to travel
beli belah,to shop
memasak,to cook
tonton TV,to watch TV
keluar,to go out
dengan kamu,with you
dengan dia,with him/her
dengan kami,with us
dengan kawan saya,with my friend
dengan keluarga saya,with my family
dengan isteri saya,with my wife
dengan suami saya,with my husband
esok,tomorrow
pagi ini,this morning
tengahari,this afternoon
petang ini,this evening
petang esok,tomorrow evening
Isnin,Monday
Selasa,Tuesday
Rabu,Wednesday
Khamis,Thursday
Jumaat,Friday
Sabtu,Saturday
Ahad,Sunday
hujung minggu ini,this weekend
kemudian,later
kamu mahu,you want
kamu boleh,you can
kamu suka,you like
kamu mesti,you must
makan,to eat
ini,this
itu,that
di panggung,at the cinema
di hotel,at the hotel
ke pejabat,to the office
ke konsert,to the concert
ke pasar,to the market
di Paris,at Paris
di pantai,at the beach
di bistro,at the bistro
di restoran,at the restaurant
naik tren,by train
naik kapal terbang,by plane
naik bas,by bus
naik kepal,by ship
naik kereta,by car
ada kah,"is, are, does, do"
apa kah,what
bila kah,when
dimana kah,where (is)
kenapa kah,why
siapa kah,who (is)
dengan siapa kah,with whom
untuk siapa kah,for whom / to whom
pukul berapa kah,at what time
dari mana,from where
berapa kali,how many times
berapa lama,how long
macam mana,how 
berapa ,"how much, how many"
"saya, aku",I
anda,you
kamu,you
awak,you
engkau,you
kau,you
dia,he/she
kami,we
kita ,we (us)
kamu semua ,you all
mereka,they
suka,like
lebih suka,prefer
mahu,want
hendak ,want (formal)
nak,want (informal)
inging,would like
boleh,can
sedang,in the middle of
mesti,must
benci,hate
tahu,know
tahu bagaimana,know how
harap,hope
perlu,need
sudah,already
telah,past tense
akan,future
masih ,still
tadi,just now
tidak,not / no
bukan,not / no
tak,not / no
saya seorang,I am a
saya bukan seorang,I am not a 
kamu seorang,You are a
kamu bukan seorang,You are not a
saya ada,I have
saya tidak ada,I don’t have
kamu ada,You have
kamu tidak ada,You don’t have
saya tidak suka,I don’t like
kamu tidak suka,You don’t like
saya tahu,I know
saya tidak tahu,I don’t know
kamu tahu,You know
kamu tidak tahu,You don’t know
saya mahu pergi ke,I want to go to
saya tidak mahu pergi ke,I don’t want to go to
kamu mahu pergi ke,You want to go to
kamu tidak mahu pergi ke,You don’t want to go to
saya mahu / hendak,I want
saya tidak mahu ,I don’t want
kamu mahu / hendak,You want
kamu tidak mahu ,You don’t want
dengan,with
untuk,for
tanpa,without
dekat,near
jauh dari ,far from
kerana ,because of
terima kasih kepada,thanks to
kepada, to
bertentangan,opposite
kepunyaan,"belong to, to"
tidak,not
di depan,in front of
di belakang,behind
selepas,after
saya,me
kamu,you
anda semua,all of you
dia,him/her
kita,us
mereka,them
ibu bapa saya,my parents
ibu bapa kamu,your parents
ibu bapa dia,his/her parents
anak saya,my children
kakak saya,my sister
abang saya,my brother
isteri saya,my wife
suami saya,my husband
ibu saudara saya,my auntie
bapa saudara saya,my uncle
kawan saya,my friend
kawan-kawan saya,my friends
kawan-kawan kamu,your friends
kawan-kawan dia,his/her friends
teman lelaki saya,my boyfriend
temen wanita saya,my girlfriend
