Malay,English
satu,one
dua,two
tiga,three
empat,four
lima,five
enam,six
tujuh,seven
lapan,eight
sembilan,nine
sepuluh,ten
sebelas,eleven
dua belas,twelve
tiga belas,thirteen
empat belas,fourteen
lima belas,fifteen
enam belas,sixteen
tujuh belas,seventeen
lapan belas,eighteen
sembilan belas,nineteen
dua puluh,twenty
dua puluh satu,twenty one
dua pulu dua,twenty two
tiga puluh,thirty
tiga puluh lima,thirty five
empat puluh,fourty
empat puluh lapan,fourty eight
lima puluh,fifty
lima puluh sembilan,fifty nine
enam puluh,sixty
enam puluh tujuh,sixty seven
tujuh puluh,seventy
tujuh puluh enam,seventy six
lapan puluh ,eighty
lapan puluh tiga,eight three
sembilan puluh,ninety
sembilan puluh lima,ninety five
seratus,hundred
seribu,thousand
sepuluh ribu,ten thousand
seratus ribu,hundred thousand
sejuta,one million
