Malay,English,,,,,
periang,joyful,,,,,
baik hati,kind ,,,,,
lambat,late,,,,,
pemalas,lazy,,,,,
panjang,long,,,,,
dekat,near,,,,,
baru,new,,,,,
bising,noisy,,,,,
normal,normal,,,,,
tidak sedia,not ready,,,,,
digunakan,occupied,,,,,
lama,"old, ancient",,,,,
fesyen lama,old fashioned,,,,, 
tepat waktu,on time,,,,,
biasa,ordinary,,,,,
sabar,patient,,,,,
barbayar,payable,,,,,
menyenagkan,pleasant,,,,,
miskin,poor,,,,,
berbudi bahasa,polite,,,,,
senyap,quiet,,,,,
sedia,ready,,,,,
kaya,rich,,,,,
kasar,rude,,,,,
sedih,sad,,,,,
pendek,short,,,,,
pemalu,shy,,,,,
sakit,sick,,,,,
mudah,simple,,,,,
mengantuk,sleepy,,,,,
kurus,slim,,,,,
kecil,"small, short",,,,,
bergaya,stylish,,,,,
lembut,soft,,,,,
kuat,strong,,,,,
manis,sweet,,,,,
banyak cakap,talkative,,,,,
tinggi,tall,,,,,
tawar,tasteless,,,,,
dahsyat,terrible,,,,,
dahaga,thirsty,,,,,
kecil,tiny,,,,,
penat,tired,,,,,
benar,“true”,,,,,
buruk,ugly,,,,,
tidak terkenal,unknown,,,,,
lemah,weak,,,,,
pelik / ganjil,weird,,,,,
bagus,well done,,,,,
menakjubkan,wonderful,,,,,
lebih teruk,worse,,,,,
muda,young,,,,,
