Malay,English,,,,,
dalam,in,,,,,
dekat,near,,,,,
kanan,on the right,,,,,
jauh ,far from,,,,,
antara ,between,,,,,
atas,on top,,,,,
tanpa,without,,,,,
bawah,under,,,,,
depan,in front of,,,,,
terus,straight,,,,,
belakang,behind,,,,,
kiri,on the left,,,,,
sebab / kerana,because,,,,, 
serta,together,,,,,
sejak,since,,,,,
di sana,there,,,,,
di sini,here,,,,,
oleh ,by,,,,,
melalui,through,,,,,
semasa,during,,,,,
selepas,after,,,,,
sebelah,beside,,,,,
belum,not yet,,,,,
tadi,just now,,,,,
sudah,already,,,,,
segera,immediately,,,,,
mungkin,maybe,,,,,
juga,too/also,,,,,
selalu,always,,,,,
tidak pernah,never,,,,,
kadang-kadang,sometimes,,,,,
sampai,until,,,,,
pada,at…,,,,,
pada pukul ,at + time…,,,,,
sedang,in the middle of,,,,,
