Malay,English,,,,,
hai,hi,,,,,
selamat pagi,good morning,,,,,
selamat malam,good night,,,,,
selamat sejahtera,greetings,,,,,
apa khabar?,how are you?,,,,,
"khabar baik, terima kasih","I am good, thank you",,,,,
awak pula?,and you?,,,,,
boleh tahan,just OK,,,,,
tidak berapa baik,not very good,,,,,
tidak berapa sihat,not very well,,,,,
sakit sedikit,a bit sick,,,,,
"baiklah, saya perlu pergi sekarang","well, I have to go now",,,,,
jumpa lagi,see you later,,,,, 
jumpa esok,see you tomorrow,,,,,
maafkan saya,excuse me,,,,,
saya minta,I’m sorry,,,,,
maaf?,pardon me?,,,,,
tolong,please,,,,,
terima kasih,thank you,,,,,
sama-sama,you’re welcome,,,,,
tiada masalah / tidak apa,no problem,,,,,
ya,yes,,,,,
tidak,no,,,,,
sedikit,a little,,,,,
tentu/pasti/baiklah,sure,,,,,
setuju,ok,,,,,
boleh cakap perlahan sedikit?,"can you speak more slowly, please?",,,,,
saya tidak faham,I don’t understand,,,,,
saya tidak tahu,I don’t know,,,,,
awak cakap Bahasa Inggeris?,do you speak English?,,,,,
Bahasa Melaya awak sungguh baik,your Malay is very good,,,,,
Ini Puan Faizeleen,this is Ms. Faizeleen,,,,,
selamat berkenalan,nice to meet you,,,,,
awak kenal Dayang Fai?,do you know Dayang Fai?,,,,,
nama awak siapa?,what’s your name?,,,,,
nama saya Chris,my name is Chris,,,,,
saya Chris,I am Chris,,,,,
mari jumpa kawan-kawan saya,I’d like you to meet some of my friends,,,,,
seronok jumpa awak,It was nice meeting you,,,,,
awak datang dari mana?,where are you from?,,,,,
saya dari negara Belanda,I am from the Netherlands,,,,,
awak orang negara Belanda?,are you Dutch?,,,,,
"ya, dari Amsterdam","yes, I’m from Amsterdam",,,,,
"tidak, saya orang Kanada","No, I’m Canadian",,,,,
berapa lama awak tinggal di sini?,how long are you staying?,,,,,
dua minggu,two weeks,,,,,
"dua, tiga hari",just a few days (2 or 3 days),,,,,
sebulan,one month,,,,,
setahun,one year,,,,,
awak gembira di sini?,how do you like it here?,,,,,
saya suka tempat ini,I love it here,,,,,
saya suka/gembira,it’s great,,,,,
tempat ini lain daripada yang lain,it’s different from other places,,,,,
apa yang awak buat untuk berhibur?,what do you do for fun?,,,,,
saya suka mendaki,I like to go hiking,,,,,
saya suka melancong,I love to travel,,,,,
saya dengar muzik,I listen to music,,,,,
muzik macam mana yang awak suka,what kind of music do you like?,,,,,
saya suka semuanya kecuali opera,I like all music except opera,,,,,
saya sangkat suka jazz,I really like jazz,,,,,
