Malay,English,,,,,
siapa nama kamu?,what is your name?,,,,,
nama saya Chris,my name is chris,,,,,
umur kamu berapa?,how old are you?,,,,,
umur saya tiga puluh lima tahun,I am 35 years old,,,,,
saya berasal dari Belanda,I come from the Netherlands,,,,,
kamu tinggal di mana?,where do you live?,,,,,
saya tinggal di Kuala Lumpur,I live in Kuala Lumpur,,,,,
kamu orang mana?,which nationality are you?,,,,,
saya orang Belanda,I am Dutch,,,,,
kamu belajar di mana?,where do you study?,,,,,
saya belajar di Universiti Windesheim,I study at Windesheim university,,,,,
kamu ada berapa adik-beradik?,how many siblings do you have?,,,,,
saya ada tiga adik-beradik,I have three siblings,,,,, 
siapakah nama ibu bapa kamu?,what are your parents names?,,,,,
nama ayah saya Onno dan ibu saya Christa,my father’s name is Onno and my mother’s name is Christa,,,,,
kamu sudah berkahwin?,are you married?,,,,,
"ya, sudah, dan saya ada dua anak","yes, already, and I have two kids",,,,,
"tidak, saya masih bujang","no, I am still single",,,,,
apakah nomber telefon kamu?,what is your phone number?,,,,,
apakah pekerjaan kamu?,what’s your occupation?,,,,,
saya seorang pengurus marketing,I am a marketing manager,,,,,
kamu suka makan apa?,what do you like to eat?,,,,,
saya suka makan pan mee,I like to eat pan mee,,,,,
kamu ada binatang peliharaan di rumah kamu?,do you have pets at home?,,,,,
"ya, saya ada seekor kucing","yes, I have a cat",,,,,
kamu tinggal di rumah teres atau apartmen?,do you stay at a terrace house or an apartment?,,,,,
"ya, saya tinggal di sebuah rumah teres di TTDI","yes, I stay at a terrace house in TTDI",,,,,
"ya, saya tinggal di sebuah apartmen teres di TTDI","yes, I stay at an apartment in TTDI",,,,,
hujung minggu kamu buat apa?,what do you do on weekends?,,,,,
saya kerap pergi ke panggung atau pergi membeli-belah,I always go to the cinema or go shopping,,,,,
kamu suka minum apa,what do you like to drink?,,,,,
saya suka minum kopi,I like to drink coffee,,,,,
kamu suka bermain sukan?,do you like to play sports?,,,,,
"ya, saya suka berenang","yes, I like swimming",,,,,
masa cuti nanti kamu pergi mana?,where are you going on holidays?,,,,,
saya pergi ke Pulau Pinang,I go to Penang island,,,,,
kamu pernah pergi ke Pulau Langkawi?,have you been to Langkawi island?,,,,,
"tak pernah, tetapi saya ingin pergi ke sana hujung tahun nanti","never, but I would like to go there end of this year",,,,,
