Malay,English,,,,,
selamat pagi,good morning,,,,,
selamat tengahari,good afternoon,,,,,
selamat malam,good night,,,,,
kamu Encik/Puan …?,You are Sir/Madam …?,,,,,
selamat petang,good evening,,,,,
"hai, lama tak jumpa","hi, long time no see",,,,,
apa khabar?,how are you?,,,,,
"khabar baik, kamu pula?","I am good, and you?",,,,,
baik juga,good too,,,,,
selamat tinggal,bye,,,,,
selamat jalan,"bye, safe journey",,,,,
jumpa esok,see you tomorrow,,,,,
jumpa hari Ahad ini,see you this Sunday,,,,, 
terimah kasih,thank you,,,,,
terimah kasih kepada,thanks to,,,,,
(minta) tolong…,please,,,,,
jumpa lagi,see you again,,,,,
selamat bercuti,happy holidays,,,,,
selamat bejaya,good luck,,,,,
maaf,sorry,,,,,
tumpang lalu,excuse me (when walking),,,,,
sama sama,you’re welcome,,,,,
jaga diri baik-baik,take good care (of yourself),,,,,
