Malay,English,,,,,
nama saya Chris,my name is Chris,,,,,
saya orang Belanda,I am Dutch,,,,,
umur saya tiga puluh lima tahun,I am 35 years old,,,,,
saya tinggal di KL,I stay in KL,,,,,
saya berasal dari Ermelo,I come from Ermelo,,,,,
saya seorang pelajar,I am a student,,,,,
saya belajar di Universiti Windesheim,I study at Windesheim University,,,,,
saya seorang pengurus marketing,I am a marketing manager,,,,,
saya bekerja di Fusionex,I work at Fusionex,,,,,
saya masih bujang,I’m still single,,,,,
saya sudah berkahwin,I’m already married,,,,,
saya ada dua orang anak,I have two kids,,,,,
rambut saya panjang dan hitam,my hair is long and black,,,,, 
mata saya coklat,my eyes are brown,,,,,
saya tidak suka minum kopi,I don’t like to drink coffee,,,,,
saya sangat suka membeli-belah,I love to go shopping,,,,,
saya benci memandu sekitar KL,I hate driving around KL,,,,,
saya tinggi dan kurus,I am tall and slim,,,,,
nama suami saya Bassie,my husband’s name is bassie,,,,,
nama isteri saya Faizeleen,my wife’s name is Faizeleen,,,,,
anak lelaki saya bernama Boris,my son’s name is Boris,,,,,
