Malay,English,,,,,
skull,tengorak,,,,,
forehead,dahi,,,,,
heart,jantung,,,,,
nose,hidung,,,,,
neck,leher,,,,,
elbow,siku,,,,,
wrist,pergelangan tangan,,,,,
arm,lengan,,,,,
belly button,pusat,,,,,
liver,hati,,,,,
mouth,mulut,,,,,
skin,kulit,,,,,
tongue,lidah,,,,, 
leg,kaki,,,,,
thigh,paha,,,,,
hand,tangan,,,,,
chest,dada,,,,,
head ,kepala,,,,,
fingers,jari,,,,,
nails,kuku,,,,,
toes,jari kaki,,,,,
eyes,mata,,,,,
eyebrows,kening,,,,,
eyelids,bulu mata,,,,,
cheeks,pipi,,,,,
ears,telinga,,,,,
lungs,Paru-paru,,,,,
teeth,gigi,,,,,
hair,rambut,,,,,
stomach,perut,,,,,
shoulder ,bahu,,,,,
