Malay,English,,,,,
anjing,dog,,,,,
kucing,cat,,,,,
tikus belanda,hamster,,,,,
kuda,horse,,,,,
keldai,donkey,,,,,
itik,duck,,,,,
tikus,rat / mouse,,,,,
(kambing) biri-biri,sheep,,,,,
arnab,rabbit,,,,,
lembu,ox / cow,,,,,
babi / khinzir,pig,,,,,
burung,bird,,,,,
burung kak tua,cockatoo,,,,, 
tupai,squirrel,,,,,
cicak ,lizard,,,,,
ular,snake,,,,,
musang,fox,,,,,
serangga,insect,,,,,
burung helang,eagle,,,,,
nyamuk,mosquito,,,,,
kupu-kupu,butterfly,,,,,
singa,lion,,,,,
harimau bintang,leopard,,,,,
serigala,wolf,,,,,
monyet,monkey,,,,,
cipan,tapir,,,,,
harimau,tiger,,,,,
gajah,elephant,,,,,
beruang,bear,,,,,
kuda belang,zebra,,,,,
badak sumbu,rhinoceros,,,,,
badak air,hippopotamas,,,,,
unta,camel,,,,,
buaya,crocodile,,,,,
yu,shark,,,,,
penguin,penguin,,,,,
katak,frog,,,,,
angsa,goose,,,,,
ayam belanda,turkey,,,,,
ayam,chicken,,,,,
semut,ant,,,,,
labah-labah,spider,,,,,
kambing,goat,,,,,
lalat,fly,,,,,
lebah,bee,,,,,
kura-kura,tortoise,,,,,
penyu,turtle,,,,,
zirafah,giraffe,,,,,
paus,whale,,,,,
