Malay,English,,,,,
sarapan,breakfast,,,,,
roti,bread,,,,,
gula,sugar,,,,,
kopi,coffee,,,,,
coklat,chocolate,,,,,
mentega,butter,,,,,
jem,jam,,,,,
garam,salt,,,,,
telur,eggs,,,,,
susu,milk,,,,,
roti canai,grilled flatbread,,,,,
nasi lemak,rice in coconut milk,,,,,
daging,meat,,,,, 
ayam,chicken,,,,,
itik ,duck,,,,,
stik,steak,,,,,
daging panggang,grilled meat,,,,,
sate ,satay,,,,,
lembu,beef,,,,,
arnab,rabbit,,,,,
ikan,fish,,,,,
kambing,mutton,,,,,
sup ekor,oxtail soup,,,,,
makanan laut,seafood,,,,,
udang,prawns,,,,,
sotong,squid,,,,,
sayur-sayuran,vegetables,,,,,
satur,vegetable,,,,,
nasi,rice,,,,,
salad,salad,,,,,
sup,soup,,,,,
cendawan,mushrooms,,,,,
kentang goreng,french fries,,,,,
ubi kentang,potatoes,,,,,
lobak merah,carrots,,,,,
tomato,tomatoes,,,,,
kacang ,beans,,,,,
kacang pis,peas,,,,,
kobis ,cabbage,,,,,
kubis bunga,cauliflower,,,,,
daun salad,salad leaves,,,,,
timun ,cucumber,,,,,
pencuci mulut,desserts,,,,,
aiskrim,ice cream,,,,,
krim,cream,,,,,
pai,pie,,,,,
cendol,chendol,,,,,
buah-buahan,fruits,,,,,
kek,cakes,,,,,
strawberi,strawberry,,,,,
ceri,cherry,,,,,
epal,apple,,,,,
pir,pear,,,,,
oren,oranges,,,,,
pisang,banana,,,,,
mangga,mango,,,,,
limau,lime,,,,,
limau bali,pomelo,,,,,
durian,durian,,,,,
nenas,pineapple,,,,,
kurma,dates,,,,,
kiwi,kiwi,,,,,
laici,lychee,,,,,
tembikai,watermelon,,,,,
tembikai susu,honeydew melon,,,,,
minuman,drinks,,,,,
jus oren,orange juice,,,,,
jus epal,apple juice,,,,,
teh,tea,,,,,
teh “o”,tea without creamer/milk,,,,,
kopi “o”,coffee without milk,,,,,
air,waiter,,,,,
teh “o” ais limau,ice lemon tea,,,,,
teh “o” ais,ice tea,,,,,
milo ais,iced milo,,,,,
cuka,vinegar,,,,,
minyak zaitun,olive oil,,,,,
bawang putih,garlic,,,,,
garam,salt,,,,,
lada,pepper,,,,,
sos cili,chili sauce,,,,,
sos tomato,ketchup,,,,,
mi,noodles,,,,,
cili,chili,,,,,
kerang,cockles,,,,,
gula-gula,sweets,,,,,
