Malay,English,,,,,
memanah,archery,,,,,
olahraga,athletics,,,,,
tinju,boxing,,,,,
merentas desa,cross-country,,,,,
berkuda,horse-riding,,,,,
lompat tinggi,high jump,,,,,
lompat jauh,long jump,,,,,
payung terjun,parachuting,,,,,
lumba lari,running,,,,,
menembak,shooting,,,,,
luncur,skating,,,,,
berenang,swimming,,,,,
badminton,badminton,,,,, 
lumba kereta,car-racing,,,,,
kriket,cricket,,,,,
bola sepak,football,,,,,
golf,golf,,,,,
bola baling,handball,,,,,
hoki,hockey,,,,,
luncur ais,ice skating,,,,,
hoki ais,ice-hockey,,,,,
ping pong,table tennis,,,,,
tenis,tennis,,,,,
bola tampar,volley bal,,,,,
luncur air,water-skiing,,,,,
bridge,bridge,,,,,
layang-layang,kite,,,,,
daun terup,cards,,,,,
snuker,snooker,,,,,
anak patung,doll,,,,,
bola ,ball,,,,,
domino,dominoes,,,,,
catur,chess,,,,,
dam,checkers,,,,,
permainan video,video games,,,,,
melukis,drawing,,,,,
seni foto,photography,,,,,
bersiar-siar,strolling,,,,,
astronomi,astronomy,,,,,
