Malay,English,,,,,
pelakon,actor,,,,,
peladang,farmer,,,,,
peguam,lawyer,,,,,
tukang emas,jeweller,,,,,
penyanyi,singer,,,,,
"drebar, pemandu",driver,,,,,
pemandu teksi,taxi driver,,,,,
doktor bedah,surgeon,,,,,
akauntan,accountant,,,,,
jururawat,nurse,,,,,
"murid, pelajar",student,,,,,
posmen,postmen,,,,,
ahli perniagaan,"businessman, businesswoman",,,,, 
pembuat jam,watchmaker,,,,,
pramugari,air hostess,,,,,
jurutera,engineer,,,,,
pekebun,gardener,,,,,
wartawan,journalist,,,,,
hakim,judge,,,,,
penjual buku,book seller,,,,,
pembina,builder,,,,,
model,model,,,,,
"anak kapal, nakhoda",sailor,,,,,
mekanik,mechanic,,,,,
doktor,doctor,,,,,
pelombong,miner,,,,,
sami,monk,,,,,
jurulatih,instructor,,,,,
penjaga anak,nanny,,,,,
pembuat kasut,shoemaker,,,,,
formen,foreman,,,,,
tukang masak,cook,,,,,
paderi,priest,,,,,
doktor gigi,tentist,,,,,
pegawai kastam,custom officer,,,,,
penulis,writer,,,,,
juruelektrik,electrician,,,,,
kerani bank,bank clerk,,,,,
rakan sejawat ,colleague,,,,,
buruh,laborer,,,,,
nelayan,fisherman,,,,,
pelukis,painter,,,,,
ahli farmasi,pharmacist,,,,,
juruterbang,pilot,,,,,
tukang paip,plumber,,,,,
anggota polis,policeman,,,,,
anggota bomba,fireman,,,,,
"guru, cikgu",teacher,,,,,
doktor psikologi,psychologist,,,,,
penyambut tetamu,receptionist,,,,,
ahli sains,scientist,,,,,
setiausaha,secretary,,,,,
pelayan,waiter,,,,,
ahli tentera,soldier,,,,,
tukang baju,tailor,,,,,
juruteknik,technician,,,,,
penterjemah,translator,,,,,
penjual,salesman,,,,,
doktor haiwan,veterinarian,,,,,
