Malay,English,,,,,
jalan,street,,,,,
jalan besar,boulevard,,,,,
perkarangan,square,,,,,
alur,track,,,,,
lingkaran tengah,middle ring road,,,,,
lebuh raya,highway,,,,,
tol ,toll,,,,,
kawasan rehat,rest area,,,,,
tempat letak kereta,parking space,,,,,
pejalan kaki,pavement,,,,,
stesen kereta apiq,railway station,,,,,
lapangan terbang,airport,,,,,
stesen LRT,LRT station,,,,, 
perhentian bas,bus stop,,,,,
kaunter tiket,ticket counter,,,,,
tiket,ticket,,,,,
satu hala,a single ticket,,,,,
dua hala,a return ticket,,,,,
kastam,customs,,,,,
kereta,car,,,,,
motosikal,motorbike,,,,,
lori,lorry,,,,,
bas,bus,,,,,
teksi,taxi,,,,,
monorel,monorail,,,,,
basikal,bicycle,,,,,
kereta api,train,,,,,
kapal terbang,airplane,,,,,
kapal,ship,,,,,
feri,ferry,,,,,
ke Eropa,to Europe,,,,,
ke Perancis,to France,,,,,
ke Sepanyol,to Spain,,,,,
ke England,to England,,,,,
ke Jerman,to Germany,,,,,
ke Itali,to Italy,,,,,
ke Asia,to Asia,,,,,
ke Malaysia,to Malaysia,,,,,
ke Negara Thai,to Thailand,,,,,
ke Singapura,to Singapore,,,,,
ke Indonesia,to Indonesia,,,,,
ke Hong Kong,to Hong Kong,,,,,
ke Jepun,to Japan,,,,,
ke Canada,to Canada,,,,,
ke Amerika Syarikat,to the USA,,,,,
