Malay,English,,,,,
merah,red,,,,,
kuning,yellow,,,,,
biru,blue,,,,,
coklat,brown,,,,,
ungu,purple,,,,,
hijau,green,,,,,
kelabu,grey,,,,,
jingga,orange,,,,,
hitam,black,,,,,
putih,white,,,,,
merah jambu,pink,,,,,
Isnin,Monday,,,,,
Selasa,Tuesday,,,,, 
Rabu,Wednesday,,,,,
Khamis,Thursday,,,,,
Jumaat,Friday,,,,,
Sabtu,Saturday,,,,,
Ahad,Sunday,,,,,
Januari,January,,,,,
Februari,February,,,,,
Mac,March,,,,,
April,April,,,,,
Mei,May,,,,,
Jun,June,,,,,
Julai,July,,,,,
Ogos,August,,,,,
September,September,,,,,
Oktober,October,,,,,
November,November,,,,,
Disember,December,,,,,
Hari ini hari apa?,What day is today?,,,,,
Hari ini hari Sabtu,Today is Saturday,,,,,
Hari ini berapa haribulan,Today is what date?,,,,,
Apa tarikh hari ini?,What is the date today?,,,,,
Selamat Hari Natal,Merry Christmas,,,,,
Selamat Tahun Baru,Happy New Year,,,,,
Selamat Tahun Baru Cina,Happy Chinese New Year,,,,,
Selamat Hari Raya,Happy Eid,,,,,
Selamat Hari Deepavali,Happy Deepavali,,,,,
Selamat Hari Lahir / Selamat Hari Jadi,Happy Birthday,,,,,
Selamat Hari Merdeka,Happy National Day,,,,,
Selamat Hari Gawai,Happy Gawai Day,,,,,
Selamat bercuti,Happy holidays,,,,,
musim sejuk,winter,,,,,
musim luruh,autumn,,,,,
musim bunga,spring,,,,,
musim panas,summer,,,,,
musim hujan,rainy season,,,,,
setiap Jumaad,on Fridays,,,,,
setiap Ahad,on Sundays,,,,,
pada hari Isnin,on Monday,,,,,
pada hari Selasa,on Tuesday,,,,,
Isnin depan,next Monday,,,,,
Saya mahu,I want,,,,,
Saya boleh,I can,,,,,
Saya suka,I like,,,,,
Saya mesti ,I must,,,,,
pergi,to go,,,,,
berenang,to swim,,,,,
melancung,to travel,,,,,
beli belah,to shop,,,,,
memasak,to cook,,,,,
tonton TV,to watch TV,,,,,
keluar,to go out,,,,,
dengan kamu,with you,,,,,
dengan dia,with him/her,,,,,
dengan kami,with us,,,,,
dengan kawan saya,with my friend,,,,,
dengan keluarga saya,with my family,,,,,
dengan isteri saya,with my wife,,,,,
dengan suami saya,with my husband,,,,,
esok,tomorrow,,,,,
pagi ini,this morning,,,,,
tengahari,this afternoon,,,,,
petang ini,this evening,,,,,
petang esok,tomorrow evening,,,,,
Isnin,Monday,,,,,
Selasa,Tuesday,,,,,
Rabu,Wednesday,,,,,
Khamis,Thursday,,,,,
Jumaat,Friday,,,,,
Sabtu,Saturday,,,,,
Ahad,Sunday,,,,,
hujung minggu ini,this weekend,,,,,
kemudian,later,,,,,
kamu mahu,you want,,,,,
kamu boleh,you can,,,,,
kamu suka,you like,,,,,
kamu mesti,you must,,,,,
makan,to eat,,,,,
ini,this,,,,,
itu,that,,,,,
di panggung,at the cinema,,,,,
di hotel,at the hotel,,,,,
ke pejabat,to the office,,,,,
ke konsert,to the concert,,,,,
ke pasar,to the market,,,,,
di Paris,at Paris,,,,,
di pantai,at the beach,,,,,
di bistro,at the bistro,,,,,
di restoran,at the restaurant,,,,,
naik tren,by train,,,,,
naik kapal terbang,by plane,,,,,
naik bas,by bus,,,,,
naik kepal,by ship,,,,,
naik kereta,by car,,,,,
ada kah,"is, are, does, do",,,,,
apa kah,what,,,,,
bila kah,when,,,,,
dimana kah,where (is),,,,,
kenapa kah,why,,,,,
siapa kah,who (is),,,,,
dengan siapa kah,with whom,,,,,
untuk siapa kah,for whom / to whom,,,,,
pukul berapa kah,at what time,,,,,
dari mana,from where,,,,,
berapa kali,how many times,,,,,
berapa lama,how long,,,,,
macam mana,how ,,,,,
berapa ,"how much, how many",,,,,
"saya, aku",I,,,,,
anda,you,,,,,
kamu,you,,,,,
awak,you,,,,,
engkau,you,,,,,
kau,you,,,,,
dia,he/she,,,,,
kami,we,,,,,
kita ,we (us),,,,,
kamu semua ,you all,,,,,
mereka,they,,,,,
suka,like,,,,,
lebih suka,prefer,,,,,
mahu,want,,,,,
hendak ,want (formal),,,,,
nak,want (informal),,,,,
inging,would like,,,,,
boleh,can,,,,,
sedang,in the middle of,,,,,
mesti,must,,,,,
benci,hate,,,,,
tahu,know,,,,,
tahu bagaimana,know how,,,,,
harap,hope,,,,,
perlu,need,,,,,
sudah,already,,,,,
telah,past tense,,,,,
akan,future,,,,,
masih ,still,,,,,
tadi,just now,,,,,
tidak,not / no,,,,,
bukan,not / no,,,,,
tak,not / no,,,,,
saya seorang,I am a,,,,,
saya bukan seorang,I am not a ,,,,,
kamu seorang,You are a,,,,,
kamu bukan seorang,You are not a,,,,,
saya ada,I have,,,,,
saya tidak ada,I don’t have,,,,,
kamu ada,You have,,,,,
kamu tidak ada,You don’t have,,,,,
saya tidak suka,I don’t like,,,,,
kamu tidak suka,You don’t like,,,,,
saya tahu,I know,,,,,
